Field	Definition	Notes
mmm_timeseries_id	unique identifier for a single MMM timeseries.	if aggregating accross multiple timeseries IDs, take care with currency conversion
organisation_id	unique, anonymous identifier for an eCommerce brand	
organisation_vertical	the top-level category of the highest selling products	categorisation follows Google's eCommerce taxonomy
organisation_subvertical	the sub-category of the highest selling products	
organisation_marketing_sources	at least one of Google, Meta, and/or Tiktok	spend from listed sources may not be present in all of the timeseries for a given brand, given different utilisation by territory
organisation_primary_territory_name	the organisation's territory with the highest average daily orders	
territory_name	values include mult-country "All Territories" and country-level roll-ups.	some orgs will have multiple territory spits, where there is sufficient data available to do so
currency_code	currency for monetary fields	when territory_name = "all territories" we use the currency of the brand's primary territory
date_day	observation date	each timeseries has a minimum of 449 sequential days
first_purchases	number of web purchases for new customers, i.e. acquisitions	
first_purchases_units	number of units purchased by new customers	
first_purchases_original_price	new customer total value of merchandise before discount	
first_purchases_gross_discount	new customer total discount value	discount rates are only available for completed purchases, take care to avoid data leakage if using this as a control variable 
all_purchases	number of web purchases for all customers	
all_purchases_units	number of units purchased by all customers	
all_purchases_original_price	total value of merchandise before discount	
all_purchases_gross_discount	total discount value	discount rates are only available for completed purchases, take care to avoid data leakage if using this as a control variable 
google_paid_search_spend	google spend on (non-branded) paid search	this is all spend on this channel, regardless of its purpose.
google_shopping_spend	google spend on shopping ads	
google_pmax_spend	google spend on performance max campaigns	
google_display_spend	google spend on display ads	
google_video_spend	google spend on video ads	
meta_facebook_spend	meta spend on facebook ads	
meta_instagram_spend	meta spend on instagram ads	
meta_other_spend	meta spend on ads from other platforms	
tiktok_spend	tiktok spend	
<platform>_<channel>_clicks	ad clicks for each channel with spend	
<platform>_<channel>_impressions	ad impressions for each channel with spend	
<channel>_clicks	web traffic from "non-paid" channels	spend from affiliates and branded search are not tracked, however traffic from these sources is recorded
