label,model,seed,K_true,profile_id,posterior_cosine,shannon_count,K_active,publication_pass,true_cosine_separation
resolvability_k1_tv00_anchor_mixture_k2_seed0,mixture_k2,7,1,tv00_anchor_mixture,0.0,1.0573568935123243,1,True,
resolvability_k1_tv00_anchor_mixture_k2_seed1,mixture_k2,8,1,tv00_anchor_mixture,0.0,1.08829093522402,1,True,
resolvability_k1_tv00_anchor_mixture_k2_seed2,mixture_k2,9,1,tv00_anchor_mixture,0.0,1.0308705024020002,1,True,
resolvability_k1_tv00_anchor_mixture_k2_seed3,mixture_k2,10,1,tv00_anchor_mixture,0.0,1.0341912842933867,1,True,
resolvability_k1_tv00_anchor_mixture_k2_seed4,mixture_k2,11,1,tv00_anchor_mixture,0.217062528404405,1.8938589463762792,2,False,
resolvability_k2_tv07_low_mixture_k2_seed0,mixture_k2,7,2,tv07_low_mixture,0.0,1.0406563598818712,1,True,
resolvability_k2_tv07_low_mixture_k2_seed1,mixture_k2,8,2,tv07_low_mixture,0.21024007255771204,1.9998966720345808,2,False,
resolvability_k2_tv07_low_mixture_k2_seed2,mixture_k2,9,2,tv07_low_mixture,0.0,1.0311746858451198,1,True,
resolvability_k2_tv07_low_mixture_k2_seed3,mixture_k2,10,2,tv07_low_mixture,0.23029222500837654,1.2561453171021617,2,False,
resolvability_k2_tv07_low_mixture_k2_seed4,mixture_k2,11,2,tv07_low_mixture,0.2126284828888727,1.9986277320202765,2,False,
resolvability_k2_tv27_mid_mixture_k2_seed0,mixture_k2,7,2,tv27_mid_mixture,0.2727393676373815,1.9952847016621302,2,True,
resolvability_k2_tv27_mid_mixture_k2_seed1,mixture_k2,8,2,tv27_mid_mixture,0.11417546227944053,1.9204514410314109,2,True,
resolvability_k2_tv27_mid_mixture_k2_seed2,mixture_k2,9,2,tv27_mid_mixture,0.19181662450311077,1.962925187646671,2,True,
resolvability_k2_tv27_mid_mixture_k2_seed3,mixture_k2,10,2,tv27_mid_mixture,0.17953932795269867,1.9838778628788407,2,True,
resolvability_k2_tv27_mid_mixture_k2_seed4,mixture_k2,11,2,tv27_mid_mixture,0.16971820150569095,1.9871108590299835,2,True,
resolvability_k2_tv59_high_mixture_k2_seed0,mixture_k2,7,2,tv59_high_mixture,0.5507694580084139,1.9830972760573473,2,True,
resolvability_k2_tv59_high_mixture_k2_seed1,mixture_k2,8,2,tv59_high_mixture,0.5569555456872225,1.922438556253051,2,True,
resolvability_k2_tv59_high_mixture_k2_seed2,mixture_k2,9,2,tv59_high_mixture,0.7144981168527647,1.9270504581888692,2,True,
resolvability_k2_tv59_high_mixture_k2_seed3,mixture_k2,10,2,tv59_high_mixture,0.5817201228180255,1.985651903354056,2,True,
resolvability_k2_tv59_high_mixture_k2_seed4,mixture_k2,11,2,tv59_high_mixture,0.5446383725638904,1.9918242978337577,2,True,
resolvability_k2_tv94_extreme_mixture_k2_seed0,mixture_k2,7,2,tv94_extreme_mixture,0.860755226175989,1.9825181005612946,2,True,
resolvability_k2_tv94_extreme_mixture_k2_seed1,mixture_k2,8,2,tv94_extreme_mixture,0.8956819924615532,1.9162090990898755,2,True,
resolvability_k2_tv94_extreme_mixture_k2_seed2,mixture_k2,9,2,tv94_extreme_mixture,0.9567613490460919,1.9379958893015639,2,True,
resolvability_k2_tv94_extreme_mixture_k2_seed3,mixture_k2,10,2,tv94_extreme_mixture,0.764821241763704,1.9842846730046197,2,True,
resolvability_k2_tv94_extreme_mixture_k2_seed4,mixture_k2,11,2,tv94_extreme_mixture,0.9631431221694821,1.9920200049822578,2,True,
resolvability_k3_tv05_low_mixture_k2_seed0,mixture_k2,7,3,tv05_low_mixture,0.22622495940129206,1.9287675348911062,2,False,
resolvability_k3_tv05_low_mixture_k2_seed1,mixture_k2,8,3,tv05_low_mixture,0.21932294871819225,1.605593092598464,2,False,
resolvability_k3_tv05_low_mixture_k2_seed2,mixture_k2,9,3,tv05_low_mixture,0.0,1.0320132671907316,1,True,
resolvability_k3_tv05_low_mixture_k2_seed3,mixture_k2,10,3,tv05_low_mixture,0.22609556147021004,1.9684404057719935,2,False,
resolvability_k3_tv05_low_mixture_k2_seed4,mixture_k2,11,3,tv05_low_mixture,0.22655633031487887,1.9997987328717608,2,False,
resolvability_k3_tv18_mid_mixture_k2_seed0,mixture_k2,7,3,tv18_mid_mixture,0.15084665726049773,1.8652161881234295,2,False,
resolvability_k3_tv18_mid_mixture_k2_seed1,mixture_k2,8,3,tv18_mid_mixture,0.16548809527869413,1.8648285725960172,2,False,
resolvability_k3_tv18_mid_mixture_k2_seed2,mixture_k2,9,3,tv18_mid_mixture,0.16080139745064326,1.8007773536114045,2,True,
