organisation_id,territory_name,organisation_vertical,n_days,date_min,date_max,total_spend,total_target,n_active_channels,active_channels,spend_cv,target_cv,spend_target_corr,log_spend_range,score
200b4005ea8477754ef37438e66b2f4c,All Territories,Toys & Hobbies,1375,2020-05-29,2024-03-03,3253091.800652707,433336,5,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'google_display_spend', 'meta_facebook_spend']",1.1363234964614055,1.1560650929215732,0.9479943515982124,9.92068630248816,0.7443470457595277
8cfe3c2df337e1e53d19b8dc4b878cac,All Territories,Beauty & Fitness,924,2021-07-20,2024-01-29,5238278.907602225,90992,8,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'google_display_spend', 'google_video_spend', 'meta_facebook_spend', 'meta_instagram_spend', 'meta_other_spend']",1.5260438017524476,1.6403631112595554,0.9577090773611269,7.938048338894934,0.7218417178895794
7059e30b528ed5f14ee9921de13248e5,All Territories,Home & Garden,1642,2019-11-22,2024-05-20,2076258.4623396604,169714,5,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'google_video_spend', 'meta_facebook_spend']",0.7732570799213827,0.6372280350586068,0.80222060966006,5.767838937783829,0.7024293551962671
0a207553b5f7c71274137923e816b6a1,All Territories,Food & Drink,1051,2020-08-14,2023-06-30,640643.145145108,52080,5,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'google_display_spend', 'meta_facebook_spend']",1.638600329191303,1.5191298120733305,0.7029356404009759,9.117086276980066,0.674797835262153
4a762f02ca755b22d37393e8dbeab1a6,US,Apparel,1029,2021-07-26,2024-05-19,2661171.5399999996,105242,6,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'meta_facebook_spend', 'meta_instagram_spend', 'meta_other_spend']",0.7478983878632858,0.6656516159319391,0.9025892348700775,4.405151299142174,0.6424826572199389
4a762f02ca755b22d37393e8dbeab1a6,All Territories,Apparel,1030,2021-07-26,2024-05-20,3340028.327488266,135552,6,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'meta_facebook_spend', 'meta_instagram_spend', 'meta_other_spend']",0.732435269674579,0.6622772322116175,0.9022793445967102,4.6209831971132065,0.6409861538758828
09113a73f8618b48b3cf53b24cd78d2f,All Territories,Apparel,1450,2020-06-14,2024-06-02,864495.0699741361,171705,5,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'meta_facebook_spend', 'meta_instagram_spend']",0.7258713614545453,0.6972839383359501,0.69569092439319,4.742489148845995,0.6383189708591854
df208255d3c8eea8d60fb4ae697d20de,All Territories,Beauty & Fitness,1276,2020-11-21,2024-05-19,9071030.414269269,359805,7,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'google_video_spend', 'meta_facebook_spend', 'meta_instagram_spend', 'meta_other_spend']",0.5340518797375555,0.5896434654883802,0.8341899870473163,3.8115848811303996,0.6358437945962314
4a762f02ca755b22d37393e8dbeab1a6,UK,Apparel,941,2021-10-23,2024-05-20,540196.5,29588,6,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'meta_facebook_spend', 'meta_instagram_spend', 'meta_other_spend']",0.8056465800015391,0.7573690320054939,0.8536036485025355,7.780963129122248,0.6209975515229305
a085f316d1b9a87c7563ef017f534a8a,All Territories,Health,835,2021-12-26,2024-04-08,548453.3674442989,32807,5,"['google_paid_search_spend', 'google_shopping_spend', 'google_pmax_spend', 'google_display_spend', 'meta_facebook_spend']",1.1799214596231422,0.9714679277957947,0.7639928845333217,5.167422683005838,0.6164076012709115
